ID Earthquake;Flag Tsunami;Year;Month;Day;Ms Magnitude;Ml Magnitude;Country;Location name;Earthquake : Deaths;Earthquake : Deaths Description;Earthquake : Damage (in M$);ICoordinates
5516;No;1999;2.0;11.0;5.8;0.0;AFGHANISTAN;AFGHANISTAN:  LOWGAR, VARDAK, KABUL;70.0;Some (~51 to 100 deaths);0.0;34.259, 69.364
5564;No;2000;6.0;10.0;6.2;0.0;TAIWAN;TAIWAN:  NAN-TOU;2.0;Few (~1 to 50 deaths);0.0;23.843, 121.225
5699;No;2003;6.0;9.0;4.9;0.0;GREECE;GREECE:  GONNOI, LARISA;0.0;No deaths reported;0.0;39.893, 22.309
5795;No;2004;8.0;4.0;5.2;0.0;TURKEY;TURKEY:  BODRUM;0.0;No deaths reported;0.0;36.833, 27.815
5839;No;2005;1.0;23.0;5.9;0.0;INDONESIA;INDONESIA:  SULAWESI:  PALU;1.0;Few (~1 to 50 deaths);0.0;-1.198, 119.933
7448;Yes;2007;3.0;25.0;6.8;0.0;JAPAN;JAPAN:  HONSHU:  W COAST;1.0;Few (~1 to 50 deaths);0.0;37.336, 136.588
7534;No;2007;6.0;13.0;6.5;0.0;GUATEMALA;GUATEMALA:  GUATEMALA CITY;0.0;No deaths reported;0.0;13.554, -90.618
8872;Yes;2010;2.0;27.0;8.5;0.0;CHILE;CHILE:  MAULE, CONCEPCION, TALCAHUANO;402.0;Many (~101 to 1000 deaths);30000.0;-36.122, -72.898
9754;Yes;-50;0.0;0.0;5.5;0.0;GEORGIA;GEORGIA:  DYOSCURIA [SUKHUMI];0.0;No deaths reported;0.0;43.0, 41.0
232;No;856;12.0;22.0;7.9;0.0;IRAN;IRAN:  DAMGHAN, QUMIS;200000.0;Very Many (~1001 or more deaths);0.0;36.2, 54.3
7908;No;1327;9.0;0.0;4.8;0.0;CHINA;CHINA:  SICHUAN PROVINCE;0.0;Few (~1 to 50 deaths);0.0;30.1, 102.7
754;No;1568;5.0;15.0;6.8;0.0;CHINA;CHINA:  SHAANXI PROVINCE:  XIAN;200.0;Many (~101 to 1000 deaths);0.0;34.4, 109.0
808;Yes;1596;9.0;4.0;6.9;0.0;JAPAN;JAPAN:  BEPPU BAY;0.0;No deaths reported;0.0;33.3, 131.7
7949;No;1630;1.0;16.0;6.3;0.0;CHINA;CHINA:  SICHUAN PROVINCE;0.0;Some (~51 to 100 deaths);0.0;32.6, 104.1
6997;Yes;1700;4.0;16.0;7.0;0.0;JAPAN;JAPAN:   TSUSHIMA, NAGASAKI PREFECTURE;0.0;No deaths reported;0.0;34.2, 129.3
1196;No;1716;0.0;0.0;7.5;0.0;CHINA;CHINA:  S XINJIANG:  AKSU, BALKHASH;0.0;No deaths reported;0.0;41.2, 80.3
1463;Yes;1783;3.0;1.0;5.9;0.0;ITALY;ITALY:  TYRRHENIAN CALABRIA;0.0;No deaths reported;0.0;38.767, 16.3
1467;Yes;1783;3.0;28.0;6.9;0.0;ITALY;ITALY:  TYRRHENIAN CALABRIA;0.0;Many (~101 to 1000 deaths);0.0;38.783, 16.467
5930;Yes;1791;4.0;15.0;6.8;0.0;RUSSIA;RUSSIA:  KAMCHATKA;0.0;No deaths reported;0.0;56.0, 163.0
1765;Yes;1833;12.0;7.0;7.4;0.0;JAPAN;JAPAN:  HONSHU:  NW;35.0;Few (~1 to 50 deaths);0.0;38.9, 139.15
8099;No;1834;0.0;0.0;5.5;0.0;CHINA;CHINA:  QINGHAI PROVINCE;88.0;Some (~51 to 100 deaths);0.0;33.0, 97.0
1913;No;1851;4.0;2.0;7.1;0.0;CHILE;CHILE:  VALPARAISO;0.0;Few (~1 to 50 deaths);0.0;-33.32, -71.42
6528;Yes;1855;11.0;7.0;7.0;0.0;JAPAN;ENSHUNADA;0.0;No deaths reported;0.0;34.5, 137.6
2001;Yes;1856;8.0;23.0;8.0;0.0;JAPAN;JAPAN:  OSHIMA;0.0;No deaths reported;0.0;40.5, 143.5
6125;Yes;1857;4.0;17.0;8.0;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:  BISMARCK SEA;0.0;No deaths reported;0.0;-5.5, 147.0
2100;Yes;1865;10.0;19.0;6.0;0.0;PHILIPPINES;PHILIPPINES:  SE LUZON:  TIWI,LUBAN,RINCONADA;0.0;No deaths reported;0.0;13.25, 123.5
6182;Yes;1875;3.0;28.0;8.0;0.0;NEW CALEDONIA;NEW CALEDONIA:  LOYALTY ISLANDS:  LIFOU ISLAND;0.0;No deaths reported;0.0;-20.0, 168.5
6221;Yes;1893;7.0;31.0;6.0;0.0;VANUATU;VANUATU ISLANDS;0.0;No deaths reported;0.0;-17.75, 168.3
2536;No;1898;4.0;29.0;7.9;0.0;NICARAGUA;NICARAGUA:  LEON, CHINANDEGA, MANAGUA;0.0;No deaths reported;0.0;12.0, -86.0
2554;No;1899;9.0;10.0;7.8;0.0;USA;ALASKA:  CAPE YAKATAGA;0.0;No deaths reported;0.0;60.0, -140.0
9778;Yes;1901;3.0;31.0;7.2;0.0;BULGARIA;BULGARIA:  BALCHIK;4.0;Few (~1 to 50 deaths);0.0;43.4, 28.5
8773;Yes;1902;1.0;18.0;6.3;0.0;GUATEMALA;GUATEMALA:  SAN MARTIN, QUEZALTENANGO;0.0;No deaths reported;0.0;14.71, -91.59
2613;No;1902;2.0;13.0;6.9;0.0;AZERBAIJAN;"AZERBAIJAN:  SEMACHA; N IRAN";86.0;Some (~51 to 100 deaths);0.0;40.7, 48.6
2649;No;1903;4.0;28.0;6.3;0.0;TURKEY;TURKEY:  MALAZGIRT;3560.0;Very Many (~1001 or more deaths);0.0;39.1, 42.5
